title,author,isbn,copies
Tora-san Our Lovable Tramp (Otoko wa tsurai yo),Tallie Tregido,647791909-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":9340,""status"":""Available""},{""copyNumber"":4754,""status"":""Borrowed""},{""copyNumber"":5900,""status"":""Borrowed""},{""copyNumber"":9293,""status"":""Available""},{""copyNumber"":8063,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3423,""status"":""Borrowed""},{""copyNumber"":9625,""status"":""Borrowed""},{""copyNumber"":8326,""status"":""Available""},{""copyNumber"":3853,""status"":""Borrowed""},{""copyNumber"":9023,""status"":""Borrowed""}]}]"
Mondo Trasho,Coleman Campany,546668571-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1638,""status"":""Available""},{""copyNumber"":4292,""status"":""Borrowed""},{""copyNumber"":7684,""status"":""Borrowed""},{""copyNumber"":3377,""status"":""Borrowed""},{""copyNumber"":6415,""status"":""Borrowed""},{""copyNumber"":4017,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5319,""status"":""Borrowed""}]}]"
Aliens of the Deep,Benoit Andreoletti,009612008-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7892,""status"":""Available""}]}]"
Pentimento,Kacey Demead,920693228-4,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9174,""status"":""Borrowed""},{""copyNumber"":9976,""status"":""Available""},{""copyNumber"":6015,""status"":""Borrowed""},{""copyNumber"":9645,""status"":""Available""},{""copyNumber"":3555,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":1752,""status"":""Available""}]}]"
Daughters of Dolma,Dyanna Baiyle,238950648-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9531,""status"":""Borrowed""},{""copyNumber"":6461,""status"":""Borrowed""},{""copyNumber"":4056,""status"":""Available""},{""copyNumber"":8203,""status"":""Borrowed""},{""copyNumber"":1992,""status"":""Borrowed""}]}]"
Snoopy Come Home,Derek Dackombe,068374208-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5215,""status"":""Available""},{""copyNumber"":1506,""status"":""Borrowed""},{""copyNumber"":4430,""status"":""Borrowed""},{""copyNumber"":8025,""status"":""Available""},{""copyNumber"":9984,""status"":""Available""}]}]"
America the Beautiful ,Clywd Danzey,881481303-5,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2426,""status"":""Borrowed""},{""copyNumber"":1175,""status"":""Available""},{""copyNumber"":6764,""status"":""Borrowed""},{""copyNumber"":9537,""status"":""Available""}]}]"
Nocturna Artificialia,Kory Sture,879262396-4,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3627,""status"":""Borrowed""},{""copyNumber"":6859,""status"":""Available""},{""copyNumber"":3764,""status"":""Borrowed""}]}]"
Falling in Love,Mildrid Cough,623554023-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3662,""status"":""Borrowed""},{""copyNumber"":9579,""status"":""Available""},{""copyNumber"":3405,""status"":""Borrowed""},{""copyNumber"":5118,""status"":""Borrowed""},{""copyNumber"":6993,""status"":""Available""}]}]"
Ulysses,Sigismund Benbough,257432388-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1724,""status"":""Available""},{""copyNumber"":2754,""status"":""Borrowed""},{""copyNumber"":8966,""status"":""Available""},{""copyNumber"":5093,""status"":""Borrowed""},{""copyNumber"":8916,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3205,""status"":""Available""},{""copyNumber"":1209,""status"":""Borrowed""},{""copyNumber"":6452,""status"":""Borrowed""},{""copyNumber"":4571,""status"":""Borrowed""}]}]"
Hits,Loralee Scardafield,563176526-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":1993,""status"":""Available""},{""copyNumber"":6027,""status"":""Available""},{""copyNumber"":7114,""status"":""Available""}]}]"
Indictment: The McMartin Trial,Leonie Lavrick,287680984-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5970,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8422,""status"":""Borrowed""},{""copyNumber"":8178,""status"":""Available""},{""copyNumber"":7146,""status"":""Borrowed""},{""copyNumber"":3502,""status"":""Available""},{""copyNumber"":6049,""status"":""Borrowed""},{""copyNumber"":1421,""status"":""Available""}]}]"
People on Sunday (Menschen am Sonntag),Katherina Spadotto,402376934-7,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4473,""status"":""Available""},{""copyNumber"":6105,""status"":""Borrowed""}]}]"
"Vodka, Mr. Palmu (Vodkaa, komisario Palmu)",Adel Fright,128805760-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4121,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3861,""status"":""Available""},{""copyNumber"":8576,""status"":""Available""}]}]"
Homefront,Trent Hayzer,487046682-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9005,""status"":""Borrowed""},{""copyNumber"":6623,""status"":""Available""},{""copyNumber"":8352,""status"":""Available""},{""copyNumber"":4205,""status"":""Available""}]}]"
Teacher's Pet,Natalie Emons,492976048-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6223,""status"":""Available""},{""copyNumber"":9666,""status"":""Available""}]}]"
"Edison, the Man",Ellissa Winspur,361955092-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":3312,""status"":""Borrowed""}]}]"
Shadows,Michele Filinkov,159549710-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2642,""status"":""Available""},{""copyNumber"":2588,""status"":""Available""},{""copyNumber"":7943,""status"":""Available""},{""copyNumber"":7393,""status"":""Borrowed""},{""copyNumber"":7428,""status"":""Borrowed""},{""copyNumber"":3865,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3393,""status"":""Available""}]}]"
Chicago Cab (a.k.a. Hellcab),Bendix Jancik,227183174-1,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6493,""status"":""Available""},{""copyNumber"":5663,""status"":""Borrowed""},{""copyNumber"":9022,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":6243,""status"":""Available""},{""copyNumber"":3875,""status"":""Available""}]}]"
Mean Guns,Chantalle Frankom,763874234-6,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4483,""status"":""Available""},{""copyNumber"":3308,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5757,""status"":""Borrowed""},{""copyNumber"":8116,""status"":""Borrowed""},{""copyNumber"":5647,""status"":""Available""},{""copyNumber"":1423,""status"":""Borrowed""},{""copyNumber"":9458,""status"":""Available""}]}]"
Violence at Noon (Hakuchu no torima),Stephenie Bertot,219866154-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9446,""status"":""Available""},{""copyNumber"":8578,""status"":""Borrowed""},{""copyNumber"":2029,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5250,""status"":""Available""},{""copyNumber"":1454,""status"":""Borrowed""},{""copyNumber"":5418,""status"":""Available""},{""copyNumber"":1037,""status"":""Borrowed""},{""copyNumber"":8189,""status"":""Available""}]}]"
Social Genocide (Memoria del saqueo),Geri Adrianello,968778599-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":9745,""status"":""Available""},{""copyNumber"":6065,""status"":""Available""},{""copyNumber"":5024,""status"":""Available""},{""copyNumber"":7938,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1824,""status"":""Borrowed""}]}]"
Of Love and Shadows,Zackariah Gazey,016007268-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2772,""status"":""Borrowed""},{""copyNumber"":3137,""status"":""Borrowed""},{""copyNumber"":1191,""status"":""Available""},{""copyNumber"":8702,""status"":""Available""},{""copyNumber"":8784,""status"":""Available""},{""copyNumber"":3715,""status"":""Borrowed""}]}]"
Moonlight Mile,Shirlee Warmington,482041736-3,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2985,""status"":""Available""},{""copyNumber"":1114,""status"":""Borrowed""},{""copyNumber"":8060,""status"":""Available""},{""copyNumber"":5795,""status"":""Available""},{""copyNumber"":7405,""status"":""Borrowed""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5886,""status"":""Borrowed""},{""copyNumber"":2373,""status"":""Borrowed""},{""copyNumber"":4496,""status"":""Available""},{""copyNumber"":4994,""status"":""Borrowed""},{""copyNumber"":4637,""status"":""Available""},{""copyNumber"":7216,""status"":""Available""}]}]"
"Prefab People, The (Panelkapcsolat)",Renaud Cinderey,453962918-2,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3716,""status"":""Borrowed""},{""copyNumber"":7088,""status"":""Borrowed""},{""copyNumber"":2714,""status"":""Available""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2940,""status"":""Borrowed""},{""copyNumber"":4332,""status"":""Available""},{""copyNumber"":1460,""status"":""Borrowed""},{""copyNumber"":5896,""status"":""Borrowed""}]}]"
In Passing,Puff Worvill,586081854-8,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2127,""status"":""Available""},{""copyNumber"":9263,""status"":""Available""},{""copyNumber"":7219,""status"":""Available""},{""copyNumber"":6666,""status"":""Borrowed""},{""copyNumber"":7111,""status"":""Available""},{""copyNumber"":4242,""status"":""Borrowed""}]}]"
Thor: The Dark World,Clayborne Negro,427846969-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2631,""status"":""Borrowed""},{""copyNumber"":7657,""status"":""Available""},{""copyNumber"":4225,""status"":""Available""},{""copyNumber"":1291,""status"":""Borrowed""},{""copyNumber"":7710,""status"":""Borrowed""}]}]"
Veronika Decides to Die,Cristabel Burgh,723712934-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":3919,""status"":""Available""},{""copyNumber"":9298,""status"":""Borrowed""},{""copyNumber"":1679,""status"":""Borrowed""},{""copyNumber"":7151,""status"":""Available""},{""copyNumber"":4123,""status"":""Borrowed""}]}]"
Kiss Them for Me,Godard Abrashkov,905505003-2,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":5728,""status"":""Borrowed""},{""copyNumber"":8091,""status"":""Available""},{""copyNumber"":9920,""status"":""Borrowed""},{""copyNumber"":3792,""status"":""Borrowed""},{""copyNumber"":4392,""status"":""Borrowed""},{""copyNumber"":3162,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":3383,""status"":""Available""},{""copyNumber"":7394,""status"":""Available""}]}]"
The Slap,Merilee Inderwick,303727719-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":8036,""status"":""Borrowed""},{""copyNumber"":6885,""status"":""Available""},{""copyNumber"":5662,""status"":""Available""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7865,""status"":""Borrowed""},{""copyNumber"":8856,""status"":""Borrowed""},{""copyNumber"":2341,""status"":""Borrowed""},{""copyNumber"":5114,""status"":""Available""},{""copyNumber"":1167,""status"":""Available""},{""copyNumber"":4075,""status"":""Available""}]}]"
Clockstoppers,Inge Ney,683293493-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5893,""status"":""Borrowed""},{""copyNumber"":2646,""status"":""Available""},{""copyNumber"":9812,""status"":""Available""},{""copyNumber"":5313,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":2847,""status"":""Available""},{""copyNumber"":1887,""status"":""Available""},{""copyNumber"":3880,""status"":""Available""}]}]"
"Toxic Avenger, The",Agneta Darwent,553902365-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":4160,""status"":""Available""},{""copyNumber"":8053,""status"":""Available""},{""copyNumber"":5437,""status"":""Available""},{""copyNumber"":1771,""status"":""Available""},{""copyNumber"":4200,""status"":""Borrowed""},{""copyNumber"":4468,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":2075,""status"":""Available""},{""copyNumber"":2435,""status"":""Available""}]}]"
Annie,Giff Titcomb,223305508-X,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5472,""status"":""Borrowed""},{""copyNumber"":7593,""status"":""Available""},{""copyNumber"":2901,""status"":""Borrowed""},{""copyNumber"":4592,""status"":""Borrowed""}]}]"
Beyond the Stars,Pippa Timmins,686913258-5,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":4150,""status"":""Borrowed""},{""copyNumber"":6354,""status"":""Borrowed""},{""copyNumber"":4342,""status"":""Available""},{""copyNumber"":8435,""status"":""Available""}]}]"
Save the Date,Robby Cavnor,014993818-7,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":1059,""status"":""Borrowed""},{""copyNumber"":3405,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2506,""status"":""Available""},{""copyNumber"":2585,""status"":""Available""},{""copyNumber"":6025,""status"":""Borrowed""},{""copyNumber"":9728,""status"":""Borrowed""},{""copyNumber"":4946,""status"":""Available""},{""copyNumber"":6864,""status"":""Available""}]}]"
Extraordinary Stories (Historias extraordinarias),Kassey Cardo,071674703-0,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":2964,""status"":""Available""},{""copyNumber"":8012,""status"":""Borrowed""},{""copyNumber"":7023,""status"":""Available""},{""copyNumber"":1764,""status"":""Available""},{""copyNumber"":4295,""status"":""Borrowed""}]}]"
Rushmore,Mufinella Dagger,548889378-4,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5037,""status"":""Borrowed""},{""copyNumber"":6510,""status"":""Borrowed""},{""copyNumber"":2928,""status"":""Available""},{""copyNumber"":6865,""status"":""Available""}]}]"
It Happened at the World's Fair,Carroll Bakhrushin,785477846-9,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8350,""status"":""Borrowed""},{""copyNumber"":5058,""status"":""Available""},{""copyNumber"":4290,""status"":""Available""},{""copyNumber"":3508,""status"":""Available""},{""copyNumber"":7800,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8012,""status"":""Borrowed""},{""copyNumber"":4070,""status"":""Available""},{""copyNumber"":1581,""status"":""Borrowed""},{""copyNumber"":8053,""status"":""Borrowed""}]}]"
Snowballs,Frasco Bridgens,804080159-1,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5028,""status"":""Available""},{""copyNumber"":7035,""status"":""Available""},{""copyNumber"":8670,""status"":""Available""}]},{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7470,""status"":""Borrowed""},{""copyNumber"":7699,""status"":""Borrowed""},{""copyNumber"":1920,""status"":""Available""},{""copyNumber"":2491,""status"":""Available""}]}]"
"Bastards, The (Los bastardos)",Marge Horsefield,315619719-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":6744,""status"":""Available""}]}]"
Grand Hotel,Gerianna Whittick,697252217-X,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":9363,""status"":""Available""},{""copyNumber"":2288,""status"":""Borrowed""},{""copyNumber"":3244,""status"":""Borrowed""},{""copyNumber"":5688,""status"":""Borrowed""}]}]"
"Final Option, The (Who Dares Wins)",Brook Osmond,718375329-8,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":8387,""status"":""Available""},{""copyNumber"":8681,""status"":""Borrowed""}]},{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6684,""status"":""Available""},{""copyNumber"":4187,""status"":""Borrowed""},{""copyNumber"":4610,""status"":""Available""}]}]"
Bring It On Again,Luella Segge,752515582-8,"[{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":5855,""status"":""Available""},{""copyNumber"":2043,""status"":""Available""}]}]"
Forever,Elene Euels,059555317-6,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":4320,""status"":""Available""},{""copyNumber"":7169,""status"":""Borrowed""},{""copyNumber"":5101,""status"":""Available""},{""copyNumber"":8633,""status"":""Available""},{""copyNumber"":4584,""status"":""Borrowed""}]}]"
Cousins,Alexandros Lochet,014798112-3,"[{""branchName"":""Branch 2"",""copiesDetails"":[{""copyNumber"":7107,""status"":""Borrowed""},{""copyNumber"":3963,""status"":""Available""},{""copyNumber"":2710,""status"":""Borrowed""},{""copyNumber"":8505,""status"":""Borrowed""}]},{""branchName"":""Branch 3"",""copiesDetails"":[{""copyNumber"":7215,""status"":""Borrowed""},{""copyNumber"":7013,""status"":""Borrowed""},{""copyNumber"":5576,""status"":""Borrowed""},{""copyNumber"":4855,""status"":""Available""}]}]"
Better Living,Ynez Moger,061682787-3,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":6854,""status"":""Borrowed""}]}]"
Three Colors: Blue (Trois couleurs: Bleu),Bettina Portal,973484085-1,"[{""branchName"":""Branch 1"",""copiesDetails"":[{""copyNumber"":5692,""status"":""Available""},{""copyNumber"":7484,""status"":""Borrowed""},{""copyNumber"":4355,""status"":""Borrowed""},{""copyNumber"":9016,""status"":""Available""},{""copyNumber"":1109,""status"":""Borrowed""}]}]"
